Do you have meritorious scholarship ?,How many hour do you study daily?,What is your preferable learning mode?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,What is your relationship status?,What was your previous SGPA?,What is your current CGPA?,target
1,4.0,0,2.0,1,49,0,3,3.0,2.8,1
1,4.0,1,2.0,1,44,1,3,2.0,2.59,0
1,5.5,0,2.5,2,61,0,3,3.96,3.9,3
0,3.0,0,2.0,2,61,0,3,3.2,3.51,2
1,5.0,0,3.0,2,55,0,3,3.57,3.67,2
1,3.0,0,5.5,1,44,0,3,2.89,2.8,0
0,4.0,1,3.0,2,49,0,3,2.78,3.75,1
0,5.0,1,2.0,2,71,0,1,2.45,3.54,0
0,3.0,0,7.0,2,71,0,3,2.0,3.19,0
0,2.0,0,8.0,2,34,0,1,2.88,3.75,0
0,4.0,0,2.0,2,55,0,3,2.8,3.65,1
0,5.0,1,2.0,2,71,0,3,2.11,3.47,0
0,4.0,0,3.0,0,51,0,2,2.37,3.49,0
0,3.0,0,3.0,2,51,1,2,2.75,3.8,1
0,2.0,1,3.0,2,71,0,3,2.64,3.7,1
0,5.0,0,7.0,2,61,0,3,2.19,2.77,0
1,5.0,1,7.0,0,34,1,1,2.19,3.19,0
1,6.0,0,4.0,0,55,1,3,2.19,3.45,0
1,3.0,0,4.0,2,71,0,3,2.5,3.4,1
0,2.0,0,3.0,2,71,1,1,2.82,3.85,1
1,5.0,0,3.0,0,71,0,3,2.76,3.86,1
0,2.0,0,2.0,1,71,0,3,2.62,3.75,1
0,2.0,0,4.0,2,71,0,3,2.16,3.24,0
0,2.0,0,2.0,2,71,1,2,2.56,3.62,1
0,2.0,0,3.0,2,55,1,1,2.33,3.31,0
0,4.0,0,6.0,2,44,0,1,2.11,3.22,0
0,4.0,1,5.0,0,71,0,3,2.65,3.78,1
0,2.0,0,2.0,2,71,1,1,2.67,3.7,1
0,2.0,0,3.551912339475154,2,42,0,3,2.54,3.61,1
0,2.0,1,2.0,0,71,1,2,2.5,3.61,1
0,4.0,1,8.0,2,71,0,1,2.07,3.39,0
1,3.0,0,5.0,2,55,0,3,2.11,3.21,0
0,3.0,0,3.0,1,71,1,1,2.77,3.84,1
1,5.0,0,2.0,0,71,0,3,2.87,3.98,1
0,4.0,1,7.0,2,71,0,3,2.19,3.43,0
0,2.0,0,8.0,0,71,0,3,2.11,3.39,0
0,3.0,1,3.0,1,71,0,3,2.22,3.38,0
1,5.0,1,3.0,1,51,0,3,2.88,3.91,1
0,2.0,0,3.0,2,71,1,1,2.67,3.74,1
0,2.0,1,6.0,0,55,0,1,2.44,3.88,0
0,6.0,0,4.0,2,44,0,1,2.21,3.21,0
0,3.0,0,2.0,1,71,0,1,2.41,3.5,0
1,4.0,0,2.0,0,71,1,1,2.73,3.8,1
0,2.0,0,2.0,0,71,1,2,2.87,3.93,1
0,3.0,1,8.0,0,71,0,3,2.87,3.98,0
1,7.0,1,3.0,0,71,0,3,2.88,3.93,1
0,4.0,0,2.0,2,71,1,1,2.78,3.84,1
0,3.0,0,4.0,2,71,0,3,2.03,3.15,0
1,5.0,0,4.0,0,71,0,3,2.44,3.78,0
0,6.0,0,3.0,0,44,0,3,2.54,3.76,1
1,2.0,1,4.0,2,67,0,3,2.79,3.59,1
0,4.0,0,2.0,0,71,0,3,2.56,3.61,1
0,3.0,0,3.0,2,71,1,3,2.64,3.7,1
1,6.0,0,5.0,2,34,0,1,2.1,3.37,0
0,4.0,1,2.0,0,44,0,2,2.51,3.87,1
0,2.0,0,2.0,0,53,0,3,2.45,3.54,0
0,3.0,0,3.0,2,71,1,3,2.66,3.72,1
1,6.0,0,4.0,2,44,0,1,2.04,3.23,0
0,4.0,1,6.0,0,71,0,3,2.29,3.56,0
0,4.0,0,7.0,0,53,0,3,2.55,3.77,0
1,4.0,0,2.0,0,71,0,3,2.9,3.89,2
0,3.0,0,3.0,2,71,0,1,2.34,3.42,0
0,4.0,1,4.0,0,71,0,2,2.08,3.11,0
0,3.0,1,8.0,2,71,0,3,2.13,3.33,0
0,5.0,0,4.0,0,71,0,3,2.91,3.95,2
1,2.0,0,2.0,2,71,0,1,2.66,4.0,1
0,2.0,0,5.0,2,71,0,3,2.8,3.91,1
0,3.0,0,2.0,0,42,0,1,2.56,3.66,1
0,2.0,0,2.0,2,50,1,3,2.67,3.75,1
0,3.0,0,2.0,1,71,0,1,2.46,3.55,0
